id,Beam/Column,Wall,Floor,Cladding,Wall Insulation,Roof Insulation,Roof Membrane,IGU,Window Frame,WWR,Floor to Floor Height,Parking Levels,SCM,GWP
4816,Load Bearing Wood Wall,Wood Stud,Wood Joist,PVC,XPS,EPS,Mod Bit,Double Glazed,PVC,25,3,0,20,103.7
148319,Glulam,Wood Stud,CLT,Metal,Spray Foam,EPS,EPDM,Triple Glazed,Wood,25,3,0,30,229.4
80326,Load Bearing Wood Wall,ICF,CLT,PVC,Mineral Wool,EPS,EPDM,Double Glazed,Wood,25,3,0,20,226.2
64754,Load Bearing Wood Wall,ICF,Wood I Joist,Brick,Fiberglass,EPS,EPDM,Double Glazed,Aluminum,10,3,0,30,231.4
142607,Glulam,Wood Stud,Wood I Joist,Fiberboard,Mineral Wool,Polyiso,PVC,Triple Glazed,Wood,25,3,0,30,95.6
82427,Load Bearing Wood Wall,ICF,CLT,EIFS,EIFS,XPS,Mod Bit,Double Glazed,Fiberglass,25,3,0,30,227.9
168791,Glulam,Wood Stud OVE,Wood Joist,Fiberboard,Spray Foam,XPS,PVC,Double Glazed,Wood,25,3,0,30,163.6
94976,Glulam,Steel Stud,Wood Joist,EIFS,EIFS,Mineral Wool,Mod Bit,Triple Glazed,Fiberglass,10,3,0,30,114.1
166030,Glulam,Wood Stud OVE,Wood Joist,EIFS,EIFS,XPS,EPDM,Triple Glazed,Wood,25,3,0,20,98.6
141421,Glulam,Wood Stud,Wood I Joist,EIFS,EIFS,Polyiso,PVC,Double Glazed,PVC,10,3,0,20,88.1
125225,Glulam,Wood Stud,Wood Joist,Metal,Spray Foam,EPS,Mod Bit,Triple Glazed,PVC,25,3,0,30,206.8
82448,Load Bearing Wood Wall,ICF,CLT,EIFS,EIFS,XPS,Mod Bit,Triple Glazed,Fiberglass,10,3,0,30,247.5
21265,Load Bearing Wood Wall,Wood Stud,Wood I Joist,Fiberboard,XPS,Mineral Wool,EPDM,Double Glazed,Aluminum,10,3,0,20,102.8
59097,Load Bearing Wood Wall,ICF,Wood Joist,EIFS,EIFS,Polyiso,Mod Bit,Double Glazed,Fiberglass,25,3,0,0,209.6
101054,Glulam,Steel Stud,Wood I Joist,Metal,Mineral Wool,EPS,EPDM,Double Glazed,PVC,10,3,0,30,154.8
116673,Glulam,Steel Stud,CLT,EIFS,EIFS,Polyiso,PVC,Triple Glazed,Fiberglass,25,3,0,0,147.4
139662,Glulam,Wood Stud,Wood I Joist,EIFS,EIFS,EPS,EPDM,Triple Glazed,Fiberglass,10,3,0,0,90.9
85830,Load Bearing Wood Wall,ICF,CLT,Fiberboard,Spray Foam,XPS,PVC,Double Glazed,Fiberglass,10,3,0,0,348.6
214781,Glulam,CLT,CLT,EIFS,EIFS,Mineral Wool,Mod Bit,Triple Glazed,Aluminum,25,3,0,30,142.5
143371,Glulam,Wood Stud,Wood I Joist,Fiberboard,Fiberglass,Mineral Wool,Mod Bit,Triple Glazed,Wood,10,3,0,20,85.5
36389,Load Bearing Wood Wall,CLT,Wood Joist,Metal,Mineral Wool,XPS,EPDM,Double Glazed,Aluminum,25,3,0,30,144.9
142109,Glulam,Wood Stud,Wood I Joist,Fiberboard,XPS,Polyiso,EPDM,Triple Glazed,Aluminum,25,3,0,30,109.5
135616,Glulam,Wood Stud,Wood I Joist,Metal,Mineral Wool,EPS,EPDM,Double Glazed,PVC,25,3,0,20,128.8
142574,Glulam,Wood Stud,Wood I Joist,Fiberboard,Mineral Wool,Polyiso,PVC,Double Glazed,PVC,10,3,0,30,87.3
49678,Load Bearing Wood Wall,CLT,CLT,EIFS,EIFS,XPS,EPDM,Triple Glazed,Wood,25,3,0,20,144.5
176320,Glulam,Wood Stud OVE,Wood I Joist,PVC,Mineral Wool,XPS,Mod Bit,Double Glazed,PVC,25,3,0,20,96.7
174501,Glulam,Wood Stud OVE,Wood I Joist,Metal,Fiberglass,Mineral Wool,EPDM,Double Glazed,Wood,25,3,0,0,119.0
49559,Load Bearing Wood Wall,CLT,CLT,EIFS,EIFS,XPS,PVC,Double Glazed,Wood,25,3,0,30,137.0
152760,Glulam,Wood Stud,CLT,EIFS,EIFS,XPS,EPDM,Triple Glazed,Aluminum,10,3,0,0,123.1
22288,Load Bearing Wood Wall,Wood Stud,Wood I Joist,Fiberboard,Fiberglass,Polyiso,EPDM,Double Glazed,PVC,25,3,0,20,89.1
243528,Glulam,ICF,CLT,Metal,Spray Foam,Mineral Wool,PVC,Triple Glazed,Aluminum,10,3,0,0,387.0
213107,Glulam,CLT,CLT,PVC,XPS,Mineral Wool,EPDM,Triple Glazed,Fiberglass,25,3,0,30,145.4
223992,Glulam,ICF,Wood Joist,EIFS,EIFS,Mineral Wool,Mod Bit,Triple Glazed,Aluminum,10,3,0,0,231.6
31896,Load Bearing Wood Wall,Wood Stud,CLT,EIFS,EIFS,EPS,Mod Bit,Triple Glazed,Aluminum,10,3,0,0,123.0
33803,Load Bearing Wood Wall,Wood Stud,CLT,Fiberboard,Fiberglass,Polyiso,EPDM,Double Glazed,Fiberglass,25,3,0,30,111.8
191052,Glulam,Wood Stud OVE,CLT,PVC,Mineral Wool,Polyiso,EPDM,Double Glazed,PVC,10,3,0,0,110.5
71853,Load Bearing Wood Wall,ICF,Wood I Joist,EIFS,EIFS,Polyiso,EPDM,Triple Glazed,Wood,25,3,0,0,214.7
215356,Glulam,CLT,CLT,Fiberboard,XPS,Mineral Wool,Mod Bit,Triple Glazed,Aluminum,25,3,0,20,156.3
153392,Glulam,Wood Stud,CLT,Fiberboard,XPS,EPS,PVC,Triple Glazed,Fiberglass,10,3,0,30,131.1
226277,Glulam,ICF,Wood Joist,Fiberboard,Mineral Wool,Mineral Wool,Mod Bit,Double Glazed,Aluminum,25,3,0,30,195.2
87093,Glulam,Steel Stud,Wood Joist,Brick,Mineral Wool,XPS,EPDM,Double Glazed,Wood,25,3,0,0,137.0
44239,Load Bearing Wood Wall,CLT,Wood I Joist,EIFS,EIFS,Mineral Wool,PVC,Triple Glazed,Fiberglass,10,3,0,20,109.0
44955,Load Bearing Wood Wall,CLT,Wood I Joist,Fiberboard,XPS,XPS,PVC,Triple Glazed,Aluminum,25,3,0,0,134.4
144281,Glulam,Wood Stud,CLT,Brick,XPS,EPS,EPDM,Triple Glazed,PVC,25,3,0,30,160.1
90505,Glulam,Steel Stud,Wood Joist,Metal,Spray Foam,XPS,Mod Bit,Triple Glazed,Aluminum,10,3,0,20,249.9
215184,Glulam,CLT,CLT,Fiberboard,XPS,Polyiso,Mod Bit,Double Glazed,Aluminum,10,3,0,0,151.0
19179,Load Bearing Wood Wall,Wood Stud,Wood I Joist,EIFS,EIFS,EPS,PVC,Triple Glazed,Aluminum,25,3,0,0,102.8
25211,Load Bearing Wood Wall,Wood Stud,CLT,Brick,Spray Foam,Mineral Wool,PVC,Double Glazed,Fiberglass,25,3,0,30,211.5
222302,Glulam,ICF,Wood Joist,PVC,Fiberglass,Mineral Wool,EPDM,Double Glazed,PVC,10,3,0,30,196.4
202184,Glulam,CLT,Wood Joist,EIFS,EIFS,XPS,PVC,Double Glazed,Fiberglass,10,3,0,30,106.8
62662,Load Bearing Wood Wall,ICF,Wood Joist,Fiberboard,Fiberglass,Mineral Wool,PVC,Double Glazed,Wood,25,3,0,20,195.6
221510,Glulam,ICF,Wood Joist,PVC,Mineral Wool,Polyiso,PVC,Triple Glazed,PVC,10,3,0,30,206.5
184785,Glulam,Wood Stud OVE,CLT,Brick,XPS,Mineral Wool,PVC,Triple Glazed,Fiberglass,25,3,0,0,159.0
24563,Load Bearing Wood Wall,Wood Stud,CLT,Brick,Fiberglass,Polyiso,Mod Bit,Triple Glazed,Fiberglass,25,3,0,30,142.9
188789,Glulam,Wood Stud OVE,CLT,Metal,Fiberglass,Mineral Wool,PVC,Double Glazed,Aluminum,25,3,0,30,147.5
169955,Glulam,Wood Stud OVE,Wood I Joist,Brick,XPS,XPS,PVC,Triple Glazed,Fiberglass,25,3,0,30,134.4
123825,Glulam,Wood Stud,Wood Joist,Metal,XPS,Mineral Wool,EPDM,Triple Glazed,Fiberglass,25,3,0,0,142.2
169998,Glulam,Wood Stud OVE,Wood I Joist,Brick,XPS,XPS,Mod Bit,Triple Glazed,Fiberglass,10,3,0,0,137.8
185119,Glulam,Wood Stud OVE,CLT,Brick,Mineral Wool,EPS,Mod Bit,Triple Glazed,Fiberglass,10,3,0,20,146.1
6652,Load Bearing Wood Wall,Wood Stud,Wood Joist,PVC,Spray Foam,Polyiso,PVC,Triple Glazed,Aluminum,25,3,0,20,166.9
182374,Glulam,Wood Stud OVE,Wood I Joist,Fiberboard,Mineral Wool,Polyiso,Mod Bit,Double Glazed,Wood,25,3,0,20,92.1
